# global-step learning-rate train-g-loss train-d-loss valid-g-loss valid-d-loss
0 0.10000000149011612 None 0.0 0.0 0.0
1 0.10000000149011612 None 0.0 0.0 0.0
1 0.10000000149011612 None 0.0 0.0 0.0
1 0.10000000149011612 None 0.0 0.0 0.0
1 0.10000000149011612 None 0.0 0.0 0.0
1 0.1000 67139.53 0.00 0.0 0.000
2 0.1000 68234.96 0.00 0.0 0.000
3 0.1000 54479.92 0.00 0.0 0.000
4 0.1000 71501.52 0.00 0.0 0.000
5 0.1000 51149.64 0.00 0.0 0.000
6 0.10000000149011612 202.23264658610026 198.07416442871093 None None
7 0.10000000149011612 155.01625559488932 152.78741099039715 None None
8 0.10000000149011612 145.5406751505534 143.95728790283204 None None
9 0.10000000149011612 150.31259694417318 148.86289143880208 None None
10 0.10000000149011612 160.1031815592448 158.80090901692708 None None
11 0.10000000149011612 172.41672709147136 171.51146341959637 None None
